epoch,exposure_train_loss,exposure_val_loss,step
0,2.712538957595825,,0
0,,2.555278778076172,0
1,2.7003445625305176,,1
1,,2.551966667175293,1
2,2.688300609588623,,2
2,,2.548704147338867,2
3,2.6764018535614014,,3
3,,2.545466661453247,3
4,2.6646761894226074,,4
4,,2.5422253608703613,4
5,2.6531283855438232,,5
5,,2.5389857292175293,5
6,2.641738176345825,,6
6,,2.5357396602630615,6
7,2.6305317878723145,,7
7,,2.532459020614624,7
8,2.6195082664489746,,8
8,,2.529144763946533,8
9,2.608680486679077,,9
9,,2.5257833003997803,9
