epoch,outcome_train_loss,outcome_val_loss,step
0,1.7477126121520996,,0
0,,1.675822138786316,0
1,1.7458713054656982,,1
1,,1.6740964651107788,1
2,1.7440335750579834,,2
2,,1.6723743677139282,2
3,1.7421996593475342,,3
3,,1.6706557273864746,3
4,1.740369439125061,,4
4,,1.668940544128418,4
5,1.7385427951812744,,5
5,,1.667229175567627,5
6,1.7367198467254639,,6
6,,1.665521502494812,6
7,1.7349010705947876,,7
7,,1.663817048072815,7
8,1.7330856323242188,,8
8,,1.6621164083480835,8
9,1.731273889541626,,9
9,,1.6604195833206177,9
10,1.7294663190841675,,10
10,,1.6587260961532593,10
11,1.7276620864868164,,11
11,,1.657036304473877,11
12,1.725861668586731,,12
12,,1.6553500890731812,12
13,1.7240649461746216,,13
13,,1.6536674499511719,13
14,1.7222721576690674,,14
14,,1.6519883871078491,14
15,1.720482587814331,,15
15,,1.6503125429153442,15
16,1.71869695186615,,16
16,,1.6486402750015259,16
17,1.7169145345687866,,17
17,,1.646971344947815,17
18,1.7151356935501099,,18
18,,1.6453055143356323,18
19,1.7133601903915405,,19
19,,1.6436430215835571,19
20,1.7115880250930786,,20
20,,1.6419835090637207,20
21,1.709818959236145,,21
21,,1.640326976776123,21
22,1.7080531120300293,,22
22,,1.6386735439300537,22
23,1.7062904834747314,,23
23,,1.6370229721069336,23
24,1.7045307159423828,,24
24,,1.6353747844696045,24
25,1.7027735710144043,,25
25,,1.633729338645935,25
26,1.701019525527954,,26
26,,1.6320863962173462,26
27,1.6992677450180054,,27
27,,1.6304460763931274,27
28,1.6975185871124268,,28
28,,1.628807783126831,28
29,1.6957716941833496,,29
29,,1.6271717548370361,29
30,1.6940275430679321,,30
30,,1.6255377531051636,30
31,1.692285180091858,,31
31,,1.6239057779312134,31
32,1.6905447244644165,,32
32,,1.6222755908966064,32
33,1.6888065338134766,,33
33,,1.6206473112106323,33
34,1.6870700120925903,,34
34,,1.6190203428268433,34
35,1.6853352785110474,,35
35,,1.6173951625823975,35
36,1.6836020946502686,,36
36,,1.6157712936401367,36
37,1.6818702220916748,,37
37,,1.614148736000061,37
38,1.6801400184631348,,38
38,,1.6125273704528809,38
39,1.6784107685089111,,39
39,,1.6109074354171753,39
40,1.676682949066162,,40
40,,1.6092880964279175,40
41,1.6749558448791504,,41
41,,1.6076695919036865,41
42,1.6732299327850342,,42
42,,1.606052041053772,42
43,1.6715047359466553,,43
43,,1.6044352054595947,43
44,1.6697802543640137,,44
44,,1.6028189659118652,44
45,1.6680561304092407,,45
45,,1.6012030839920044,45
46,1.6663328409194946,,46
46,,1.5995875597000122,46
47,1.6646099090576172,,47
47,,1.5979726314544678,47
48,1.6628870964050293,,48
48,,1.5963575839996338,48
49,1.661164402961731,,49
49,,1.5947428941726685,49
50,1.6594420671463013,,50
50,,1.5931280851364136,50
51,1.657719612121582,,51
51,,1.5915131568908691,51
52,1.6559970378875732,,52
52,,1.5898981094360352,52
53,1.6542742252349854,,53
53,,1.588282823562622,53
54,1.6525514125823975,,54
54,,1.5866671800613403,54
55,1.6508281230926514,,55
55,,1.5850510597229004,55
56,1.6491044759750366,,56
56,,1.5834347009658813,56
57,1.647379994392395,,57
57,,1.5818177461624146,57
58,1.6456551551818848,,58
58,,1.5802000761032104,58
59,1.6439297199249268,,59
59,,1.5785815715789795,59
60,1.6422030925750732,,60
60,,1.5769623517990112,60
61,1.640475869178772,,61
61,,1.5753424167633057,61
