x,y_do_x_1,y_do_x_2,y_do_x_3
-3.886465,-0.053879272,0.088196985,-0.39149922
-3.8685882,-0.053290688,0.0862983,-0.39037153
-3.8507116,-0.05270094,0.08440083,-0.3892405
-3.8328347,-0.05210999,0.082504645,-0.3881062
-3.814958,-0.05151782,0.08060984,-0.3869685
-3.7970812,-0.050924435,0.07871646,-0.38582736
-3.7792046,-0.05032971,0.076824665,-0.38468277
-3.7613277,-0.04973369,0.074934445,-0.3835347
-3.743451,-0.049136266,0.073046006,-0.3823831
-3.7255743,-0.048537407,0.07115935,-0.38122794
-3.7076974,-0.04793709,0.06927463,-0.38006914
-3.6898208,-0.04733535,0.067391895,-0.37890676
-3.671944,-0.046732057,0.06551126,-0.37774068
-3.6540673,-0.046127126,0.063632876,-0.3765709
-3.6361904,-0.045520592,0.061756738,-0.37539732
-3.6183138,-0.04491239,0.059883043,-0.37421998
-3.600437,-0.04430247,0.058011815,-0.3730388
-3.5825603,-0.043690767,0.05614325,-0.37185377
-3.5646834,-0.043077253,0.05427735,-0.3706648
-3.5468066,-0.04246184,0.05241432,-0.36947185
-3.52893,-0.041844536,0.050554205,-0.36827496
-3.511053,-0.041225232,0.04869715,-0.36707398
-3.4931765,-0.040603973,0.046843234,-0.365869
-3.4752996,-0.03998056,0.044992592,-0.3646599
-3.457423,-0.03935502,0.043145366,-0.36344662
-3.439546,-0.038727306,0.041301616,-0.36222917
-3.4216695,-0.03809734,0.039461497,-0.3610075
-3.4037926,-0.03746502,0.0376251,-0.35978153
-3.3859158,-0.036830362,0.03579257,-0.35855126
-3.3680391,-0.036193233,0.033964053,-0.3573166
-3.3501623,-0.035553623,0.03213961,-0.35607755
-3.3322856,-0.034911476,0.030319415,-0.35483414
-3.3144088,-0.03426669,0.028503565,-0.35358617
-3.2965322,-0.033619214,0.026692206,-0.3523337
-3.2786553,-0.03296894,0.02488545,-0.35107657
-3.2607787,-0.032315876,0.023083447,-0.34981495
-3.2429018,-0.03165988,0.021286298,-0.3485486
-3.225025,-0.031000901,0.019494155,-0.34727755
-3.2071483,-0.0303389,0.01770717,-0.3460017
-3.1892715,-0.029673766,0.01592545,-0.34472114
-3.1713948,-0.029005462,0.0141491275,-0.34343573
-3.153518,-0.028333884,0.012378337,-0.3421454
-3.1356413,-0.027658949,0.01061325,-0.34085017
-3.1177645,-0.026980542,0.008853978,-0.3395499
-3.0998878,-0.026298694,0.0071006455,-0.33824462
-3.082011,-0.025613202,0.0053534117,-0.33693427
-3.0641341,-0.024924068,0.0036124166,-0.3356188
-3.0462575,-0.02423118,0.0018778056,-0.33429813
-3.0283806,-0.02353445,0.00014969254,-0.33297226
-3.010504,-0.02283375,-0.0015717129,-0.33164108
-2.9926271,-0.022129038,-0.003286333,-0.33030453
-2.9747505,-0.021420274,-0.0049940124,-0.32896268
-2.9568737,-0.020707244,-0.0066945795,-0.32761535
-2.938997,-0.01998996,-0.00838791,-0.32626253
-2.9211202,-0.01926827,-0.010073851,-0.32490414
-2.9032433,-0.018542098,-0.011752282,-0.32354015
-2.8853667,-0.017811365,-0.013423002,-0.32217053
-2.8674898,-0.01707593,-0.015085906,-0.32079518
-2.8496132,-0.016335731,-0.016740829,-0.31941402
-2.8317363,-0.015590654,-0.018387642,-0.31802705
-2.8138597,-0.014840605,-0.020026177,-0.31663418
-2.7959828,-0.014085449,-0.021656292,-0.31523535
-2.7781062,-0.013325149,-0.023277862,-0.3138305
-2.7602293,-0.012559501,-0.0248907,-0.3124196
-2.7423525,-0.011788442,-0.02649469,-0.31100246
-2.7244759,-0.011011903,-0.028089661,-0.30957916
-2.706599,-0.010229721,-0.029675504,-0.30814955
-2.6887224,-0.009441823,-0.031252023,-0.3067136
-2.6708455,-0.008648039,-0.03281911,-0.30527124
-2.652969,-0.007848286,-0.03437659,-0.30382237
-2.635092,-0.007042432,-0.035924334,-0.30236688
-2.6172154,-0.00623041,-0.0374622,-0.30090484
-2.5993385,-0.0054120305,-0.03899004,-0.29943603
-2.581462,-0.004587219,-0.040507704,-0.29796043
-2.563585,-0.0037558258,-0.04201507,-0.29647794
-2.5457082,-0.0029177093,-0.04351197,-0.2949885
-2.5278316,-0.0020728104,-0.044998262,-0.29349202
-2.5099547,-0.0012209332,-0.046473842,-0.2919884
-2.492078,-0.0003619755,-0.04793852,-0.2904776
-2.4742012,0.0005042118,-0.049392194,-0.28895947
-2.4563246,0.0013777363,-0.05083471,-0.28743395
-2.4384477,0.0022587772,-0.052265935,-0.28590095
-2.420571,0.0031474137,-0.053685736,-0.2843604
-2.4026942,0.0040438143,-0.055093993,-0.28281215
-2.3848174,0.004948139,-0.05649056,-0.28125614
-2.3669407,0.005860476,-0.057875294,-0.27969232
-2.3490639,0.0067809913,-0.05924811,-0.27812043
-2.3311872,0.0077098557,-0.060608827,-0.27654052
-2.3133104,0.0086472165,-0.06195734,-0.27495244
-2.2954338,0.009593164,-0.06329354,-0.27335605
-2.277557,0.01054792,-0.06461728,-0.27175125
-2.2596803,0.011511575,-0.06592847,-0.27013797
-2.2418034,0.012484337,-0.06722697,-0.26851606
-2.2239265,0.013466336,-0.068512656,-0.2668854
-2.20605,0.014457676,-0.06978544,-0.26524585
-2.188173,0.015458597,-0.071045205,-0.26359737
-2.1702964,0.016469225,-0.0722918,-0.26193973
